"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"11602";1,08;"Premium";"G";"SI1";59,4;60;5044;6,7;6,63;3,96
"11603";1,04;"Good";"F";"SI1";63,4;59;5045;6,4;6,44;4,07
"11604";1,24;"Very Good";"J";"SI1";61,6;60;5045;6,89;6,95;4,26
"11605";1,95;"Premium";"H";"I1";60,3;59;5045;8,1;8,05;4,87
"11606";1;"Very Good";"H";"VS2";59,7;59;5046;6,52;6,57;3,91
"11607";1,24;"Very Good";"I";"SI1";62,5;57;5046;6,84;6,89;4,29
"11608";1,12;"Ideal";"F";"SI2";61,9;55;5046;6,68;6,72;4,15
"11609";1,15;"Very Good";"H";"SI1";60,9;57;5047;6,72;6,8;4,12
"11610";1,05;"Very Good";"H";"SI1";60,2;62;5047;6,52;6,57;3,94
"11611";1,3;"Very Good";"J";"SI2";61,1;61;5047;6,95;7;4,26
"11612";1,02;"Very Good";"H";"SI1";64,4;59;5047;6,24;6,36;4,06
"11613";1,02;"Ideal";"H";"SI1";61,7;57;5047;6,45;6,48;3,99
"11614";1,14;"Premium";"D";"SI2";59,2;61;5047;6,84;6,82;4,04
"11615";1,06;"Very Good";"H";"SI1";59,1;58;5048;6,66;6,71;3,95
"11616";1,08;"Ideal";"H";"SI2";61,4;57;5049;6,6;6,66;4,07
"11617";1,2;"Good";"G";"SI2";63,6;54;5049;6,71;6,75;4,28
"11618";1,08;"Ideal";"I";"SI1";62,6;53,9;5049;6,51;6,56;4,09
"11619";1,01;"Very Good";"G";"SI1";62,8;56;5049;6,35;6,43;4,01
"11620";1,01;"Ideal";"G";"SI1";60,6;59;5049;6,45;6,49;3,92
"11621";1,03;"Very Good";"H";"SI1";60,4;60;5050;6,41;6,53;3,91
"11622";1,01;"Premium";"H";"VS2";62,6;61;5050;6,33;6,29;3,95
"11623";1,2;"Ideal";"I";"SI2";60,5;58;5050;6,92;6,83;4,16
"11624";1,01;"Very Good";"H";"VS2";61;63;5050;6,41;6,38;3,9
"11625";1,01;"Very Good";"H";"VS2";63,5;61;5050;6,32;6,24;3,99
"11626";1,13;"Premium";"H";"SI1";60,1;60;5050;6,77;6,73;4,06
"11627";1,13;"Premium";"H";"SI1";60,9;59;5050;6,79;6,7;4,11
"11628";1,01;"Good";"D";"VS1";56,8;61;5050;6,5;6,45;3,68
"11629";1,13;"Premium";"H";"SI1";62;58;5050;6,67;6,63;4,12
"11630";1,01;"Good";"G";"VS2";60,2;65;5050;6,55;6,48;3,92
"11631";1,13;"Ideal";"H";"SI1";62;57;5050;6,73;6,66;4,15
"11632";1;"Very Good";"E";"SI1";63,3;57;5051;6,3;6,36;4,01
"11633";1;"Very Good";"E";"SI1";63,1;57;5051;6,36;6,39;4,02
"11634";1,01;"Very Good";"G";"SI1";63,4;58;5051;6,29;6,4;4,02
"11635";2;"Premium";"J";"I1";61,5;59;5051;8,11;8,06;4,97
"11636";1,11;"Ideal";"J";"VS2";61,7;54;5051;6,64;6,69;4,11
"11637";0,92;"Ideal";"D";"SI2";61,9;55;5051;6,24;6,27;3,87
"11638";1,01;"Ideal";"D";"SI2";61,6;57;5051;6,32;6,45;3,93
"11639";1,01;"Good";"G";"SI1";58,4;61;5051;6,51;6,61;3,83
"11640";1;"Good";"E";"SI1";57,5;62;5051;6,5;6,58;3,76
"11641";0,72;"Ideal";"F";"VVS1";60,8;56;5051;5,83;5,81;3,54
"11642";0,88;"Very Good";"F";"VVS2";62;59;5052;6,09;6,13;3,79
"11643";1,13;"Very Good";"E";"SI2";60,3;58;5052;6,78;6,86;4,11
"11644";0,65;"Ideal";"D";"VVS1";60,9;57;5052;5,58;5,61;3,41
"11645";1,2;"Good";"J";"VS2";63,7;56;5053;6,67;6,62;4,23
"11646";1,14;"Very Good";"H";"VS2";59,9;57;5053;6,78;6,81;4,07
"11647";1,2;"Premium";"J";"VS2";62,6;57;5053;6,8;6,72;4,23
"11648";1,11;"Good";"I";"VS2";63,6;58;5054;6,57;6,52;4,16
"11649";1,01;"Good";"D";"SI1";63,9;62;5055;6,25;6,31;4,01
"11650";1,01;"Good";"D";"SI1";63,9;61;5055;6,28;6,31;4,02
"11651";1,01;"Very Good";"D";"SI1";58,1;61;5055;6,59;6,66;3,85
"11652";1,01;"Very Good";"H";"VS1";59,6;58;5055;6,46;6,5;3,86
"11653";1,01;"Very Good";"H";"VS1";63;55;5055;6,35;6,41;4,02
"11654";1,01;"Good";"D";"SI1";63,9;60;5055;6,29;6,32;4,03
"11655";1,02;"Ideal";"E";"SI1";60,7;57;5055;6,55;6,51;3,97
"11656";1,02;"Good";"G";"SI1";63,6;58;5055;6,39;6,34;4,05
"11657";1,02;"Ideal";"G";"SI1";62,8;57;5055;6,38;6,35;4
"11658";1,07;"Premium";"H";"SI1";62,1;58;5055;6,56;6,49;4,05
"11659";1,07;"Premium";"H";"SI1";62,2;57;5055;6,57;6,48;4,06
"11660";1,24;"Ideal";"H";"VS1";63;55;5055;6,84;6,81;4,3
"11661";1,02;"Premium";"H";"SI1";59,6;57;5055;6,63;6,55;3,93
"11662";0,91;"Premium";"E";"VS2";62,3;58;5055;6,21;6,15;3,85
"11663";1,02;"Premium";"D";"SI2";62,8;55;5055;6,46;6,38;4,03
"11664";0,91;"Premium";"E";"VS2";61,1;58;5055;6,28;6,2;3,81
"11665";1,12;"Premium";"H";"VS1";59,6;57;5055;6,82;6,77;4,05
"11666";1,14;"Good";"I";"VS1";63,3;56;5056;6,6;6,68;4,2
"11667";1,01;"Good";"I";"VS1";59;63,5;5056;6,5;6,57;3,86
"11668";1,22;"Very Good";"J";"VS1";59;63;5056;7,05;7,02;4,15
"11669";1,1;"Premium";"H";"SI1";60,4;60;5056;6,72;6,68;4,05
"11670";0,76;"Ideal";"E";"VVS1";62,2;55;5056;5,86;5,82;3,63
"11671";0,91;"Premium";"E";"VS1";62,7;59;5057;6,15;6,19;3,87
"11672";0,91;"Very Good";"E";"VS1";62,8;60;5057;6,08;6,11;3,83
"11673";1,08;"Ideal";"G";"SI2";61,3;57;5057;6,55;6,64;4,04
"11674";1,05;"Premium";"D";"SI2";60,4;57;5057;6,6;6,55;3,97
"11675";1;"Very Good";"F";"SI1";61,8;58;5058;6,37;6,44;3,96
"11676";1;"Premium";"F";"SI1";59,8;59;5058;6,49;6,55;3,9
"11677";1,02;"Very Good";"F";"SI1";63,1;55;5058;6,45;6,38;4,05
"11678";1,12;"Premium";"I";"VS1";62,2;59;5058;6,66;6,59;4,12
"11679";1,26;"Premium";"E";"SI2";60,3;60;5058;7;6,94;4,2
"11680";1;"Premium";"F";"SI1";62,1;59;5060;6,36;6,39;3,96
"11681";1;"Good";"E";"SI1";64,2;58;5061;6,25;6,28;4,02
"11682";1,11;"Ideal";"G";"SI1";62,6;57;5061;6,64;6,59;4,14
"11683";1,13;"Ideal";"G";"SI2";61,1;54;5062;6,77;6,74;4,13
"11684";1,01;"Fair";"H";"VS1";61,4;66;5062;6,34;6,24;3,87
"11685";1,01;"Ideal";"H";"SI1";61;56;5062;6,48;6,43;3,94
"11686";1,22;"Premium";"H";"SI1";60,6;58;5063;6,91;6,86;4,17
"11687";1,37;"Very Good";"J";"SI2";60,7;60;5063;7,07;7,19;4,33
"11688";1,03;"Ideal";"H";"SI1";62;57;5063;6,53;6,47;4,03
"11689";1,07;"Ideal";"H";"VS1";60,2;57;5063;6,61;6,55;3,96
"11690";1,29;"Ideal";"D";"I1";61,3;56;5065;6,99;7,05;4,3
"11691";1,07;"Ideal";"H";"SI1";61,5;56;5065;6,6;6,66;4,08
"11692";1,34;"Very Good";"E";"SI2";62,1;63;5065;7,06;7,01;4,37
"11693";1,01;"Very Good";"J";"VVS2";63,7;57;5067;6,31;6,35;4,03
"11694";1,01;"Very Good";"I";"VS2";62,9;56;5067;6,38;6,43;4,03
"11695";1,01;"Very Good";"I";"VS2";60,9;59;5067;6,42;6,45;3,92
"11696";1,01;"Very Good";"F";"SI2";61;60;5067;6,42;6,46;3,93
"11697";1,25;"Ideal";"J";"VS2";62,6;54;5067;6,94;6,9;4,33
"11698";1,04;"Ideal";"E";"SI2";61,1;56;5067;6,55;6,51;3,99
"11699";0,9;"Good";"E";"VS1";62,2;60;5068;6,12;6,16;3,82
"11700";1,29;"Very Good";"J";"VS2";61,3;60;5068;6,96;6,98;4,27
"11701";0,34;"Premium";"E";"SI1";60,7;60;596;4,48;4,51;2,73
"11702";0,34;"Premium";"G";"VS2";61,3;58;596;4,51;4,53;2,77
"11703";0,34;"Premium";"G";"VS2";61,1;60;596;4,51;4,53;2,76
"11704";0,34;"Premium";"H";"VS1";61,6;59;596;4,49;4,54;2,78
"11705";0,34;"Ideal";"G";"VS2";61,3;55;596;4,49;4,51;2,76
"11706";0,34;"Premium";"E";"SI1";59,3;58;596;4,55;4,59;2,71
