"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"17202";0,9;"Very Good";"D";"VVS2";62,6;59;6872;6,11;6,15;3,84
"17203";1,2;"Very Good";"F";"SI1";63,5;57;6872;6,65;6,74;4,25
"17204";1,09;"Ideal";"F";"SI1";61,4;56;6872;6,63;6,66;4,08
"17205";1,31;"Ideal";"I";"VS2";61,7;55;6873;7;7,1;4,35
"17206";1,26;"Good";"G";"SI1";63,2;61;6874;6,81;6,87;4,32
"17207";1,24;"Premium";"F";"SI1";61,6;59;6874;6,86;6,9;4,24
"17208";1,24;"Premium";"E";"SI1";59,7;59;6875;7,07;6,99;4,2
"17209";1;"Very Good";"E";"VS2";59;58;6875;6,49;6,53;3,84
"17210";1,21;"Ideal";"H";"SI1";62,2;54;6876;6,8;6,86;4,25
"17211";1,29;"Premium";"I";"VS1";63;57;6877;6,99;6,89;4,37
"17212";1;"Very Good";"D";"VS2";62,6;56;6881;6,33;6,39;3,98
"17213";1,01;"Premium";"G";"VS1";61,7;56;6882;6,53;6,46;4,01
"17214";1,01;"Good";"G";"VS1";63,8;57;6882;6,38;6,35;4,06
"17215";1,01;"Premium";"G";"VS1";60,9;58;6882;6,47;6,43;3,93
"17216";1;"Very Good";"F";"VS1";62,1;60;6883;6,33;6,42;3,96
"17217";1,35;"Very Good";"I";"VS2";61,7;59;6884;7,05;7,09;4,36
"17218";1,08;"Ideal";"F";"SI1";61,8;55;6884;6,58;6,63;4,08
"17219";1,31;"Very Good";"I";"VS1";62,3;58;6885;6,99;7,03;4,37
"17220";1,07;"Premium";"F";"VS1";60,6;61;6885;6,62;6,56;3,99
"17221";1,21;"Ideal";"E";"SI1";62;56;6887;6,83;6,76;4,21
"17222";1,21;"Very Good";"H";"VS2";60,1;57;6887;6,88;6,97;4,16
"17223";1,83;"Fair";"H";"I1";68;57;6887;7,47;7,44;5,07
"17224";1,22;"Ideal";"I";"VS1";62,9;54;6887;6,83;6,79;4,29
"17225";1,22;"Ideal";"I";"VS1";62,6;57;6887;6,8;6,76;4,24
"17226";1,22;"Premium";"F";"SI1";61,8;59;6887;6,86;6,83;4,23
"17227";1,23;"Premium";"G";"SI1";61,2;59;6888;6,88;6,81;4,19
"17228";1,5;"Premium";"I";"SI1";62,3;58;6888;7,33;7,22;4,53
"17229";0,97;"Very Good";"F";"VVS2";58,1;60;6889;6,49;6,53;3,78
"17230";1,41;"Ideal";"J";"SI1";62,3;55;6889;7,18;7,21;4,48
"17231";1,06;"Ideal";"G";"VS2";61,9;54;6890;6,54;6,58;4,06
"17232";1,04;"Premium";"G";"VVS1";58,2;60;6890;6,71;6,66;3,89
"17233";1,55;"Premium";"J";"SI2";62,6;57;6890;7,37;7,32;4,6
"17234";1,13;"Ideal";"G";"VS2";62,7;56;6891;6,61;6,65;4,16
"17235";0,9;"Very Good";"E";"VVS2";63,7;57;6892;6,1;6,12;3,89
"17236";1,21;"Very Good";"H";"SI1";60,4;58;6892;6,91;6,96;4,19
"17237";1,27;"Premium";"H";"SI1";60,2;58;6892;7,04;6,99;4,22
"17238";1,42;"Very Good";"I";"VS1";60,1;65;6894;7,28;7,2;4,35
"17239";1,24;"Ideal";"G";"SI1";61;56,4;6895;6,93;6,99;4,25
"17240";1,16;"Ideal";"E";"SI1";61,9;57;6896;6,72;6,76;4,17
