"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"44402";0,43;"Ideal";"D";"VVS1";62,3;56;1584;4,81;4,82;3
"44403";0,66;"Ideal";"E";"SI2";62,4;56;1584;5,61;5,55;3,48
"44404";0,55;"Ideal";"H";"SI1";61,4;56;1584;5,28;5,31;3,25
"44405";0,55;"Ideal";"H";"SI1";60,8;56;1584;5,3;5,33;3,23
"44406";0,53;"Ideal";"D";"VS2";61,4;55;1585;5,21;5,24;3,21
"44407";0,56;"Ideal";"G";"VS2";62,2;57;1585;5,29;5,25;3,28
"44408";0,51;"Ideal";"G";"VS2";61;56;1585;5,17;5,2;3,16
"44409";0,51;"Ideal";"E";"SI1";60,9;56;1585;5,16;5,19;3,15
"44410";0,53;"Ideal";"E";"SI1";61,9;55;1585;5,2;5,24;3,23
"44411";0,56;"Premium";"H";"VS1";60,1;58;1585;5,4;5,35;3,23
"44412";0,46;"Ideal";"E";"VVS1";62,6;57;1586;4,89;4,98;3,09
"44413";0,52;"Ideal";"G";"VS2";61,2;56;1586;5,16;5,2;3,17
"44414";0,52;"Ideal";"G";"VS2";61,9;55;1586;5,15;5,19;3,2
"44415";0,54;"Ideal";"I";"SI1";62,3;55;1586;5,22;5,27;3,27
"44416";0,52;"Ideal";"E";"SI1";61;55;1586;5,19;5,23;3,18
"44417";0,58;"Premium";"F";"VS2";62,2;55;1586;5,4;5,31;3,33
"44418";0,55;"Very Good";"E";"SI1";58,5;65;1587;5,33;5,38;3,13
"44419";0,53;"Ideal";"D";"SI1";61,2;57;1587;5,19;5,24;3,19
"44420";0,49;"Very Good";"H";"VVS2";62,3;57;1588;5,02;5,05;3,14
"44421";0,51;"Very Good";"G";"VS1";61;56;1588;5,17;5,19;3,16
"44422";0,52;"Ideal";"F";"VS1";62,5;57;1588;5,13;5,17;3,22
"44423";0,75;"Premium";"J";"SI2";62,9;56;1588;5,76;5,72;3,61
"44424";0,55;"Ideal";"G";"VS2";62,2;54;1588;5,27;5,28;3,28
"44425";0,55;"Ideal";"H";"VS1";61,9;55;1588;5,25;5,28;3,26
"44426";0,5;"Premium";"D";"SI1";63;60;1588;5,06;5,03;3,18
"44427";0,61;"Ideal";"F";"SI2";61,9;57;1588;5,45;5,41;3,36
"44428";0,61;"Premium";"H";"SI1";61,2;58;1588;5,45;5,43;3,33
"44429";0,72;"Premium";"G";"SI2";60,6;61;1588;5,83;5,75;3,51
"44430";0,55;"Very Good";"E";"VS2";58,1;62;1589;5,38;5,46;3,15
"44431";0,5;"Good";"D";"VS2";64;56;1589;5,02;5,04;3,22
"44432";0,64;"Ideal";"I";"VS1";60,8;54;1589;5,55;5,6;3,39
"44433";0,61;"Very Good";"H";"VS2";63,3;57,5;1590;5,38;5,4;3,41
"44434";0,56;"Very Good";"G";"VS2";63,4;58;1590;5,23;5,28;3,33
"44435";0,48;"Ideal";"H";"VVS2";62,5;56;1590;4,98;5,02;3,12
"44436";0,54;"Ideal";"E";"VS2";61,8;57;1590;5,23;5,26;3,24
"44437";0,51;"Good";"G";"VS1";63,4;57;1590;5,04;5,08;3,21
"44438";0,51;"Premium";"E";"VS2";62,5;60;1590;5,08;5,1;3,18
"44439";0,51;"Ideal";"E";"VS2";61,7;53;1590;5,18;5,2;3,2
"44440";0,51;"Very Good";"E";"VS2";63;59;1590;5,05;5,08;3,19
"44441";0,59;"Premium";"D";"SI2";62,6;61;1590;5,33;5,27;3,32
"44442";0,57;"Premium";"E";"SI1";62,2;55;1590;5,36;5,31;3,32
"44443";0,59;"Premium";"H";"VS2";60,2;60;1590;5,45;5,42;3,27
"44444";0,52;"Very Good";"F";"VS2";61,1;56;1591;5,21;5,24;3,19
"44445";0,61;"Ideal";"H";"VS2";62;53;1591;5,47;5,49;3,4
"44446";0,61;"Ideal";"H";"VS2";62,5;54;1591;5,43;5,45;3,4
"44447";0,51;"Ideal";"F";"VS2";61,9;55;1591;5,11;5,15;3,18
"44448";0,51;"Ideal";"F";"VS2";61;55;1591;5,17;5,21;3,17
"44449";0,52;"Ideal";"F";"VS2";61,7;56;1591;5,16;5,18;3,19
"44450";0,55;"Ideal";"G";"VS1";60,9;56;1591;5,29;5,35;3,24
"44451";0,5;"Ideal";"E";"VS1";62,7;57;1591;5,01;5,03;3,15
"44452";0,56;"Ideal";"G";"SI1";62,3;53;1591;5,31;5,28;3,3
"44453";0,51;"Premium";"G";"VS1";61;58;1591;5,2;5,16;3,16
"44454";0,53;"Good";"G";"VS1";63,8;56;1591;5,17;5,11;3,28
"44455";0,53;"Very Good";"F";"VS2";62,7;57;1592;5,1;5,14;3,21
"44456";0,5;"Very Good";"G";"VS1";61,3;58;1592;5,03;5,09;3,1
"44457";0,5;"Very Good";"G";"VS1";62,9;55;1592;5,06;5,09;3,19
"44458";0,57;"Very Good";"J";"IF";59,8;59;1592;5,39;5,41;3,23
"44459";0,55;"Very Good";"D";"SI1";63,1;56;1593;5,19;5,22;3,28
"44460";0,54;"Very Good";"D";"SI1";60;59,8;1593;5,3;5,34;3,18
"44461";0,55;"Ideal";"I";"VVS1";61,7;56;1593;5,24;5,29;3,25
"44462";0,55;"Premium";"I";"VVS1";61,3;59;1593;5,27;5,3;3,24
"44463";0,55;"Ideal";"I";"VVS1";62,7;57;1593;5,17;5,23;3,26
"44464";0,52;"Ideal";"H";"VS2";61,5;55;1593;5,18;5,22;3,2
"44465";0,52;"Ideal";"H";"VS2";60,3;57;1593;5,21;5,23;3,15
"44466";0,5;"Premium";"D";"SI1";62,8;57;1593;5,08;5,05;3,18
"44467";0,51;"Ideal";"F";"SI1";61,1;55;1593;5,22;5,16;3,17
"44468";0,5;"Premium";"E";"SI1";59,9;58;1593;5,18;5,17;3,1
"44469";0,51;"Premium";"E";"SI1";61,5;58;1593;5,14;5,11;3,15
"44470";0,52;"Good";"F";"VS1";58,6;63;1594;5,27;5,34;3,11
"44471";0,54;"Ideal";"E";"SI1";61,5;56;1594;5,31;5,26;3,25
"44472";0,59;"Very Good";"F";"SI1";61,4;58;1595;5,39;5,45;3,33
"44473";0,54;"Ideal";"D";"SI1";62,6;55;1595;5,19;5,23;3,26
"44474";0,54;"Premium";"D";"SI1";62,3;60;1595;5,18;5,22;3,24
"44475";0,52;"Ideal";"G";"VS2";60,8;57;1595;5,19;5,21;3,16
"44476";0,51;"Ideal";"F";"VS2";62;56;1595;5,11;5,14;3,18
