"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"44202";0,51;"Very Good";"F";"VS2";62,9;57;1569;5,09;5,11;3,21
"44203";0,51;"Ideal";"F";"VS2";61,4;56;1569;5,13;5,16;3,16
"44204";0,51;"Good";"F";"VS2";63,2;56,5;1569;5,05;5,08;3,2
"44205";0,51;"Very Good";"F";"VS2";61;58;1569;5,1;5,17;3,13
"44206";0,61;"Ideal";"J";"VS1";61,1;56;1569;5,44;5,49;3,33
"44207";0,5;"Ideal";"G";"VS1";62;54;1569;5,11;5,15;3,18
"44208";0,5;"Ideal";"G";"VS1";62,6;57;1569;5,05;5,08;3,17
"44209";0,58;"Ideal";"F";"SI1";60,9;55;1569;5,39;5,41;3,29
"44210";0,51;"Ideal";"D";"SI1";61,9;54;1569;5,14;5,2;3,19
"44211";0,4;"Ideal";"G";"IF";61,9;56;1570;4,7;4,76;2,93
"44212";0,91;"Fair";"F";"I1";67;62;1570;5,97;5,89;3,98
"44213";0,52;"Very Good";"E";"VS2";62,8;58;1571;5,11;5,14;3,22
"44214";0,42;"Ideal";"G";"VVS2";61,7;56;1571;4,84;4,88;3
"44215";0,52;"Ideal";"E";"VS2";62,2;55;1571;5,16;5,22;3,23
"44216";0,56;"Ideal";"H";"SI2";60,7;56;1571;5,34;5,37;3,25
"44217";0,55;"Ideal";"D";"SI1";62,1;56;1571;5,21;5,25;3,25
"44218";0,57;"Premium";"F";"SI1";61,8;57;1571;5,34;5,31;3,29
"44219";0,57;"Premium";"F";"SI1";60,7;58;1571;5,36;5,32;3,24
"44220";0,57;"Ideal";"F";"SI1";61,6;57;1571;5,37;5,34;3,3
"44221";0,57;"Premium";"F";"SI1";59,5;58;1571;5,43;5,36;3,21
"44222";0,57;"Premium";"F";"SI1";62,7;59;1571;5,3;5,26;3,31
"44223";0,57;"Ideal";"F";"SI1";61,4;57;1571;5,35;5,3;3,27
"44224";0,5;"Ideal";"D";"VS1";63;57;1571;5,06;5;3,17
"44225";0,57;"Premium";"G";"VS2";61,1;59;1571;5,39;5,32;3,27
"44226";0,54;"Ideal";"E";"SI1";61,7;56;1571;5,27;5,24;3,24
"44227";0,46;"Very Good";"H";"VVS1";62;56;1572;4,96;4,98;3,07
"44228";0,61;"Very Good";"I";"VS2";62,4;57;1572;5,4;5,43;3,38
"44229";0,52;"Very Good";"H";"VS1";63,5;58;1572;5,08;5,13;3,24
"44230";0,59;"Premium";"H";"VS2";60,7;56;1572;5,46;5,41;3,3
"44231";0,59;"Ideal";"D";"SI2";60,2;57;1572;5,47;5,42;3,28
"44232";0,59;"Premium";"D";"SI2";61,2;60;1572;5,42;5,37;3,3
"44233";0,59;"Ideal";"D";"SI2";62,3;55;1572;5,41;5,38;3,36
"44234";0,54;"Ideal";"F";"VS2";61,3;57;1572;5,28;5,25;3,23
