"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"48202";0,53;"Ideal";"G";"VVS2";61,4;57;1948;5,19;5,26;3,21
"48203";0,53;"Ideal";"G";"VVS2";62,2;54;1948;5,17;5,22;3,23
"48204";0,53;"Ideal";"G";"VVS2";61,7;56;1948;5,2;5,23;3,22
"48205";0,53;"Ideal";"G";"VVS2";60,4;56;1948;5,24;5,29;3,18
"48206";0,7;"Premium";"H";"SI1";61,1;58;1948;5,74;5,79;3,52
"48207";0,53;"Ideal";"E";"VS2";61,5;56;1948;5,22;5,25;3,22
"48208";0,7;"Good";"G";"SI2";59,4;61;1948;5,77;5,81;3,44
"48209";0,58;"Premium";"G";"SI1";62,4;60;1949;5,34;5,3;3,32
"48210";0,62;"Very Good";"D";"SI1";61,3;58;1949;5,47;5,49;3,36
"48211";0,56;"Ideal";"G";"VVS2";62;54;1949;5,28;5,32;3,29
"48212";0,57;"Ideal";"F";"VS1";62,6;56;1949;5,27;5,33;3,32
"48213";0,76;"Very Good";"J";"VS2";59,9;59;1949;5,92;5,94;3,55
"48214";0,57;"Ideal";"F";"VS1";61,9;56;1949;5,3;5,39;3,31
"48215";0,57;"Ideal";"H";"VVS1";60,9;56;1949;5,36;5,38;3,27
"48216";0,57;"Ideal";"E";"VS2";60,4;57;1949;5,4;5,35;3,25
"48217";0,7;"Fair";"G";"SI1";66;53;1949;5,53;5,47;3,63
"48218";0,56;"Ideal";"H";"VS1";61,6;56;1949;5,31;5,34;3,28
"48219";0,53;"Ideal";"H";"IF";62;54;1949;5,22;5,27;3,25
"48220";0,57;"Ideal";"G";"VS1";62;55;1949;5,35;5,29;3,3
"48221";0,57;"Ideal";"G";"VS1";62,1;56;1949;5,33;5,3;3,3
"48222";0,57;"Ideal";"G";"VS1";61,3;56;1949;5,36;5,34;3,28
"48223";0,57;"Premium";"G";"VS1";62,4;58;1949;5,32;5,29;3,31
"48224";0,57;"Ideal";"E";"VS2";61,7;56;1949;5,36;5,34;3,3
"48225";0,57;"Ideal";"E";"VS2";61,8;55;1949;5,38;5,34;3,31
"48226";0,57;"Ideal";"E";"VS2";61,9;57;1949;5,31;5,29;3,28
"48227";0,57;"Ideal";"E";"VS2";61,8;56;1949;5,33;5,29;3,28
"48228";0,57;"Premium";"E";"VS2";61;58;1949;5,34;5,31;3,25
"48229";0,57;"Premium";"E";"VS2";61,4;58;1949;5,37;5,32;3,28
"48230";0,57;"Ideal";"E";"VS2";61,6;56;1949;5,38;5,33;3,3
"48231";0,57;"Ideal";"E";"VS2";62,9;57;1949;5,29;5,26;3,32
"48232";0,57;"Premium";"D";"SI1";58,9;59;1949;5,46;5,41;3,2
"48233";0,58;"Premium";"E";"SI1";60,6;56;1949;5,42;5,38;3,27
"48234";0,57;"Premium";"D";"SI1";63;59;1949;5,27;5,23;3,31
"48235";0,7;"Ideal";"J";"SI1";60,1;59;1949;5,79;5,75;3,47
"48236";0,56;"Ideal";"F";"VS2";61,8;55;1950;5,3;5,34;3,29
"48237";0,46;"Ideal";"F";"IF";62;55;1950;4,96;4,98;3,08
"48238";0,7;"Good";"H";"SI2";60,2;63;1950;5,7;5,73;3,44
"48239";0,53;"Premium";"E";"VS1";58,5;61;1950;5,39;5,28;3,12
"48240";0,54;"Ideal";"G";"VVS2";60,8;56;1950;5,31;5,28;3,22
"48241";0,86;"Very Good";"J";"SI2";63,2;61;1950;6,05;5,97;3,79
"48242";0,5;"Fair";"E";"VS1";56,1;64;1950;5,31;5,28;2,97
"48243";0,69;"Very Good";"F";"SI1";62,6;59,6;1951;5,59;5,66;3,52
"48244";0,58;"Ideal";"G";"VS2";61,1;55;1951;5,42;5,38;3,3
"48245";0,56;"Good";"E";"VS1";59,8;61;1951;5,35;5,36;3,2
"48246";0,69;"Good";"F";"SI1";58,4;61,7;1951;5,75;5,82;3,38
"48247";0,49;"Very Good";"F";"VVS1";62,2;56;1952;5,04;5,08;3,14
"48248";0,73;"Very Good";"J";"VS2";60,6;61;1952;5,77;5,81;3,51
"48249";0,7;"Very Good";"J";"VS2";61,1;61;1952;5,64;5,69;3,46
"48250";0,63;"Very Good";"E";"SI1";61;57,6;1952;5,48;5,51;3,36
"48251";0,71;"Premium";"I";"VS2";60;58;1952;5,79;5,85;3,49
"48252";0,53;"Ideal";"D";"VS1";61,3;56;1952;5,21;5,23;3,2
"48253";0,63;"Fair";"E";"SI1";64,6;57,7;1952;5,36;5,41;3,47
"48254";0,51;"Premium";"F";"VVS2";62,3;58;1953;5,08;5,1;3,17
"48255";0,72;"Very Good";"H";"SI2";61;56;1953;5,75;5,8;3,52
"48256";0,7;"Ideal";"J";"VS2";62;58;1953;5,66;5,69;3,52
"48257";0,58;"Ideal";"F";"VS1";61,4;56;1953;5,38;5,4;3,31
"48258";0,7;"Premium";"J";"VS1";59,6;62;1953;5,77;5,7;3,42
"48259";0,78;"Premium";"J";"SI1";63;60;1954;5,88;5,82;3,66
"48260";1;"Fair";"G";"I1";67,3;57;1954;6,26;6,12;4,18
"48261";0,54;"Very Good";"E";"VVS2";63,3;60;1955;5,1;5,17;3,25
"48262";0,53;"Ideal";"G";"VVS2";60,8;57;1955;5,24;5,28;3,2
"48263";0,7;"Good";"F";"SI1";64,3;63;1955;5,55;5,58;3,58
"48264";0,46;"Ideal";"E";"VVS1";62,5;53;1955;4,95;5;3,11
"48265";0,57;"Ideal";"D";"VS2";61,8;57;1955;5,29;5,32;3,28
"48266";0,54;"Ideal";"D";"VS1";61,4;53;1955;5,28;5,3;3,25
"48267";0,53;"Ideal";"G";"VVS1";61,8;56;1956;5,19;5,24;3,22
"48268";0,52;"Ideal";"H";"IF";62,1;57;1956;5,13;5,16;3,19
"48269";0,53;"Premium";"D";"VS2";60,4;58;1956;5,26;5,23;3,17
"48270";0,53;"Ideal";"D";"VS2";60,2;57;1956;5,26;5,24;3,16
"48271";0,53;"Ideal";"D";"VS2";60,6;57;1956;5,28;5,24;3,19
"48272";0,53;"Premium";"D";"VS2";61,5;58;1956;5,24;5,2;3,21
"48273";0,53;"Ideal";"D";"VS2";61,2;57;1956;5,26;5,2;3,2
"48274";0,53;"Ideal";"D";"VS2";61,7;55;1956;5,23;5,21;3,22
"48275";0,53;"Ideal";"D";"VS2";61,4;55;1956;5,25;5,21;3,21
"48276";0,53;"Ideal";"D";"VS2";61,2;55;1956;5,25;5,21;3,2
"48277";0,53;"Ideal";"D";"VS2";62,6;56;1956;5,18;5,14;3,23
"48278";0,53;"Ideal";"D";"VS2";62,2;56;1956;5,19;5,16;3,22
"48279";0,53;"Ideal";"D";"VS2";62,1;55;1956;5,2;5,17;3,22
"48280";0,53;"Ideal";"D";"VS2";61,5;56;1956;5,23;5,17;3,2
"48281";0,53;"Ideal";"D";"VS2";61,2;56;1956;5,23;5,2;3,19
"48282";0,53;"Ideal";"D";"VS2";61,4;56;1956;5,23;5,2;3,2
"48283";0,53;"Ideal";"D";"VS2";62,3;56;1956;5,17;5,14;3,21
"48284";0,77;"Fair";"J";"SI1";60,2;66;1956;5,97;5,81;3,55
"48285";0,53;"Ideal";"E";"VS2";62;56;1956;5,29;5,2;3,25
"48286";0,53;"Ideal";"E";"VS2";60,8;56;1956;5,28;5,25;3,21
"48287";0,53;"Ideal";"E";"VS2";62,3;57;1956;5,23;5,19;3,25
"48288";0,73;"Ideal";"J";"SI1";61,3;57;1956;5,82;5,8;3,56
"48289";0,52;"Ideal";"G";"VVS2";61,4;55,3;1957;5,18;5,21;3,19
"48290";0,52;"Ideal";"G";"VVS2";61,6;55;1957;5,14;5,18;3,19
"48291";0,53;"Premium";"H";"IF";62,5;59;1957;5,15;5,18;3,23
"48292";0,54;"Ideal";"G";"VS1";61,6;56;1957;5,24;5,28;3,24
"48293";0,54;"Ideal";"G";"VS1";60,6;56;1957;5,28;5,31;3,21
"48294";0,54;"Ideal";"G";"VS1";61;57;1957;5,25;5,28;3,21
"48295";0,54;"Ideal";"G";"VS1";60,1;57;1957;5,29;5,31;3,18
"48296";0,52;"Ideal";"G";"VVS2";61,6;54;1958;5,17;5,22;3,2
"48297";0,53;"Ideal";"G";"VVS1";62,1;56;1958;5,19;5,21;3,23
"48298";0,75;"Premium";"J";"SI1";61,7;56;1958;5,92;5,81;3,62
"48299";0,75;"Very Good";"J";"SI1";63,1;57;1958;5,79;5,74;3,64
"48300";0,51;"Very Good";"D";"VS1";62,2;59;1959;5,1;5,13;3,18
"48301";0,31;"Ideal";"D";"SI1";61,8;57;533;4,33;4,37;2,69
"48302";0,31;"Ideal";"D";"SI1";61,2;57;533;4,34;4,38;2,67
"48303";0,31;"Ideal";"D";"SI1";62;56;533;4,35;4,39;2,71
"48304";0,31;"Good";"D";"SI1";63,8;57;533;4,29;4,33;2,75
"48305";0,27;"Ideal";"I";"VS2";62,1;56;534;4,14;4,18;2,58
"48306";0,32;"Ideal";"H";"VS2";61,7;56;534;4,39;4,42;2,72
"48307";0,32;"Ideal";"H";"VS2";61,5;57;534;4,41;4,45;2,72
"48308";0,33;"Ideal";"I";"VS1";62,1;53,9;534;4,43;4,45;2,76
"48309";0,39;"Ideal";"I";"SI1";62,4;54;534;4,67;4,69;2,92
"48310";0,33;"Very Good";"H";"SI2";63,5;57;534;4,39;4,36;2,78
"48311";0,25;"Ideal";"F";"VS2";61,6;55;535;4,06;4,08;2,51
"48312";0,25;"Ideal";"F";"VS2";62,9;55;535;4,01;4,05;2,53
"48313";0,25;"Ideal";"F";"VS2";61,7;56;535;4,04;4,07;2,5
"48314";0,25;"Ideal";"E";"VS2";62,1;57;535;4,01;4,05;2,5
"48315";0,25;"Ideal";"E";"VS2";60,6;57;535;4,08;4,11;2,48
"48316";0,25;"Ideal";"E";"VS2";62,1;57;535;4,02;4,06;2,5
"48317";0,28;"Very Good";"F";"VS1";62,3;52;536;4,2;4,26;2,62
"48318";0,34;"Very Good";"G";"SI1";61,2;54;536;4,53;4,56;2,78
"48319";0,31;"Ideal";"I";"VVS1";61,2;55,6;536;4,33;4,38;2,67
"48320";0,23;"Ideal";"G";"VVS1";61,9;58;536;3,93;3,96;2,44
"48321";0,23;"Ideal";"G";"VVS1";61,5;57;536;3,94;3,97;2,43
"48322";0,23;"Ideal";"G";"VVS1";60,8;57;536;3,96;3,99;2,41
"48323";0,23;"Ideal";"G";"IF";61,8;56;536;3,92;3,94;2,43
