"";"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
"39602";0,3;"Ideal";"I";"VS1";62,4;54;491;4,3;4,32;2,69
"39603";0,35;"Ideal";"I";"SI1";62,2;54;491;4,52;4,55;2,82
"39604";0,31;"Ideal";"H";"SI1";62;53,9;491;4,35;4,39;2,7
"39605";0,32;"Ideal";"F";"SI1";61,9;55;491;4,38;4,41;2,72
"39606";0,32;"Ideal";"F";"SI1";61,3;55;491;4,44;4,47;2,73
"39607";0,26;"Premium";"H";"VS1";62,3;59;491;4,1;4,06;2,54
"39608";0,26;"Premium";"G";"VS1";61,3;60;491;4,12;4,07;2,51
"39609";0,35;"Very Good";"H";"SI1";60;61;491;4,57;4,6;2,75
"39610";0,35;"Ideal";"E";"SI2";61,7;56;491;4,53;4,55;2,8
"39611";0,3;"Very Good";"H";"VS1";62,4;60;491;4,23;4,29;2,66
"39612";0,35;"Ideal";"H";"SI1";62,3;57;491;4,5;4,55;2,82
"39613";0,35;"Ideal";"I";"VS2";59,8;57;491;4,59;4,6;2,75
"39614";0,35;"Ideal";"I";"VS2";62,5;57;491;4,5;4,53;2,82
"39615";0,3;"Ideal";"G";"VS2";60,8;57;491;4,33;4,38;2,65
"39616";0,35;"Good";"E";"SI2";63,9;55;491;4,48;4,5;2,87
"39617";0,35;"Premium";"E";"SI2";61;58;491;4,52;4,56;2,77
"39618";0,37;"Very Good";"H";"SI1";62,6;63;491;4,6;4,5;2,85
"39619";0,3;"Good";"G";"VS2";63,1;58;491;4,23;4,27;2,68
"39620";0,3;"Very Good";"G";"VS2";59,3;59;491;4,38;4,42;2,61
"39621";0,35;"Premium";"E";"SI2";61,5;59;491;4,52;4,56;2,79
"39622";0,3;"Very Good";"G";"VS2";62,6;62;491;4,21;4,25;2,65
"39623";0,35;"Very Good";"I";"VS2";62,9;57;491;4,5;4,53;2,84
"39624";0,4;"Good";"F";"I1";63,3;60,4;491;4,64;4,68;2,95
"39625";0,3;"Very Good";"G";"VS2";61,1;62;491;4,28;4,33;2,63
"39626";0,35;"Premium";"I";"VS2";61,2;58;491;4,55;4,57;2,79
"39627";0,3;"Ideal";"J";"VS2";61,9;56;491;4,3;4,33;2,67
"39628";0,35;"Ideal";"E";"SI2";61,4;56;491;4,51;4,55;2,78
"39629";0,35;"Very Good";"H";"SI1";61;62;491;4,52;4,56;2,77
"39630";0,35;"Good";"H";"SI1";63,1;58;491;4,46;4,51;2,83
"39631";0,34;"Ideal";"E";"VVS1";62,2;56;1084;4,49;4,45;2,78
"39632";0,34;"Ideal";"E";"VVS1";62,2;56;1084;4,46;4,44;2,77
"39633";0,34;"Ideal";"G";"IF";61,9;57;1084;4,48;4,47;2,77
"39634";0,34;"Ideal";"G";"IF";61,7;55;1084;4,5;4,48;2,77
"39635";0,34;"Ideal";"G";"IF";61,6;56;1084;4,51;4,48;2,77
"39636";0,34;"Ideal";"G";"IF";60,1;57;1084;4,58;4,54;2,74
"39637";0,34;"Ideal";"G";"IF";61,9;54;1084;4,49;4,46;2,77
"39638";0,34;"Premium";"G";"IF";62,3;59;1084;4,49;4,46;2,79
"39639";0,49;"Premium";"G";"SI2";59,4;60;1084;5,17;5,14;3,06
"39640";0,49;"Premium";"E";"SI1";61,5;58;1084;5,08;5,06;3,12
"39641";0,51;"Premium";"I";"SI1";61,3;58;1084;5,16;5,11;3,15
"39642";0,41;"Ideal";"E";"VVS2";62,3;58;1085;4,73;4,78;2,96
"39643";0,4;"Ideal";"F";"VVS2";62;56;1085;4,76;4,73;2,94
"39644";0,3;"Premium";"F";"IF";61,6;58;1085;4,34;4,3;2,66
"39645";0,41;"Ideal";"F";"VS2";62,4;58;1085;4,77;4,75;2,97
"39646";0,47;"Premium";"G";"SI1";58,8;58;1086;5,11;5,06;2,99
"39647";0,47;"Fair";"G";"SI1";58,4;60;1086;5,16;5,12;3
"39648";0,47;"Very Good";"F";"SI1";63,3;60;1086;4,98;4,94;3,14
"39649";0,38;"Very Good";"F";"VVS1";61,7;56;1087;4,63;4,66;2,86
"39650";0,55;"Very Good";"I";"SI2";61,5;60;1087;5,23;5,25;3,22
"39651";0,5;"Very Good";"I";"SI1";63,2;57;1087;5,07;5,09;3,21
"39652";0,4;"Ideal";"G";"VS1";61,4;55;1087;4,77;4,78;2,93
"39653";0,37;"Ideal";"E";"VS1";61,4;55;1087;4,62;4,66;2,85
"39654";0,42;"Premium";"G";"VS2";59,8;58;1087;4,9;4,86;2,92
"39655";0,42;"Premium";"H";"VS1";61,2;60;1087;4,84;4,77;2,94
"39656";0,42;"Premium";"H";"VS1";61,6;58;1087;4,82;4,79;2,96
"39657";0,42;"Ideal";"H";"VS1";62;57;1087;4,82;4,8;2,98
"39658";0,42;"Premium";"H";"VS1";61,7;59;1087;4,83;4,76;2,96
"39659";0,42;"Ideal";"H";"VS1";62,4;57;1087;4,79;4,76;2,98
"39660";0,42;"Premium";"G";"VS2";59,5;59;1087;4,89;4,83;2,89
"39661";0,42;"Ideal";"G";"VS2";61,8;56;1087;4,84;4,81;2,98
"39662";0,42;"Ideal";"G";"VS2";61,6;56;1087;4,83;4,82;2,97
"39663";0,42;"Ideal";"G";"VS2";60,8;57;1087;4,85;4,82;2,94
"39664";0,42;"Premium";"G";"VS2";60,6;58;1087;4,88;4,83;2,94
"39665";0,42;"Premium";"G";"VS2";60,1;61;1087;4,84;4,81;2,9
"39666";0,42;"Premium";"G";"VS2";60,1;61;1087;4,86;4,79;2,9
"39667";0,42;"Ideal";"G";"VS2";62,2;54;1087;4,82;4,8;2,99
"39668";0,42;"Ideal";"G";"VS2";62,2;56;1087;4,82;4,8;2,99
"39669";0,42;"Ideal";"G";"VS2";61,7;57;1087;4,83;4,8;2,97
"39670";0,42;"Ideal";"G";"VS2";61,2;56;1087;4,84;4,8;2,95
"39671";0,42;"Premium";"G";"VS2";61,9;58;1087;4,82;4,77;2,97
"39672";0,42;"Ideal";"G";"VS2";62,4;54;1087;4,83;4,78;3
"39673";0,42;"Premium";"G";"VS2";60,6;59;1087;4,85;4,78;2,92
